0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
-0.48801422,22.572567,-0.8184357,19.637472,46.06848,12.986881,59.351376,18.647114,14.630442,14.110231,28.77429,47.522198,40.339634,-0.073749796,61.353973,14.519715,9.0567,17.244253,6.576105,20.43845,21.304684,9.4374,17.538586,50.97164,25.401844,17.278145,39.30667,11.367371,9.316967,16.550343,70.06492,42.58999,20.166925,3.885314,5.6653194,-0.3387883,10.599936,53.800808,14.939815,23.258093,-0.739016,-0.054334775,51.90038,48.88504,-0.016342958,21.54558,-0.43185496,29.724737,6.7712426,-0.016540714,35.68152,12.517924,-0.26677492,50.930447,44.477463,58.658775,-0.27208093,47.774857,28.877834,9.763825,57.76244,9.909793,45.928745,-0.009408445
-0.06969268,-0.2114409,-0.104369,-0.17888358,-0.49898615,-0.18617398,-0.50224763,-0.2101662,-0.17263068,-0.17994568,-0.26011056,-0.47646537,-0.43595618,-0.2118724,-0.50090516,-0.11940153,-0.14043711,-0.16798176,-0.14087142,-0.17035508,-0.23667519,-0.12938756,-0.21198238,-0.44762993,-0.26158023,-0.21549167,-0.43982777,-0.09892002,-0.16765036,-0.26414216,-0.7476101,-0.49740776,-0.21486264,-0.15047693,-0.16023155,-0.07518819,-0.0903195,-0.5258042,-0.2261814,-0.2591748,-0.101625256,-0.14385103,-0.4716353,-0.48279843,-0.12315395,-0.2249716,-0.054626226,-0.26120207,-0.16453858,-0.09623549,-0.5184782,-0.17151411,-0.040730968,-0.53496516,-0.49796,-0.5676222,-0.116975695,-0.5362353,-0.27091622,-0.13704559,-0.5560535,-0.13647193,-0.5252283,-0.056182425
16.069683,6.693783,31.041208,4.111873,-1.0997249,-0.016299622,-1.0248202,1.6154697,3.6154761,-0.0022169058,12.889177,-0.8471453,-0.9608441,-0.39035693,-1.0276837,-0.010488052,11.752259,2.0213876,-0.16892049,-0.21163255,12.478163,-0.017385524,-0.31801108,-1.0063337,11.0808525,-0.007954419,-0.96240276,0.65960175,11.351488,-0.0010022531,-1.2353748,-0.77103263,6.600069,-0.15692772,-0.075647615,8.785457,9.294734,-1.2800385,-0.03645972,11.118554,28.651886,-0.11027152,-0.9717752,-1.1420616,-0.116971515,2.8221686,14.894944,9.503478,-0.20047066,5.5209584,-1.1710263,5.5826526,10.139403,-1.2294551,-1.2068647,-1.0158471,14.706238,-0.8758807,7.4048686,-0.05428301,-0.985844,5.2558217,-0.8660619,-0.06247945
54.08508,-0.010797006,45.08474,5.293412,-0.999195,18.906939,-0.65658474,16.085064,18.125454,18.8999,-0.07008063,-0.4217558,-0.87602407,-0.4475233,-0.46589664,13.321169,-0.09982872,15.583976,-0.022098942,-0.00044731694,-0.20410617,16.347404,1.866734,-0.82098854,-0.2278289,15.560392,-1.0831432,13.305132,6.037232,20.585697,-0.20000215,0.55190086,7.3062205,23.0556,8.771098,37.644176,16.189568,-1.2596991,19.774014,-0.28562647,55.867535,10.327496,-0.6261519,-0.9703805,24.40169,9.165771,40.79643,3.6632705,23.24867,-0.20959441,-1.3684881,-0.20991096,47.09914,-1.2069533,-1.2817017,-0.52762985,-0.027072148,-0.199846,-0.021674216,7.5414615,-0.26149336,-0.20104793,-0.074382834,14.723282
42.08035,-0.13387138,21.56131,-0.079156674,18.372414,-0.07530406,37.901436,-0.072958246,-0.060871754,-0.0846324,-0.18240865,20.370016,20.146303,-0.14459294,42.73722,-0.060361717,-0.14016354,-0.042717393,3.4612515,9.2937565,-0.24502952,-0.03710498,33.401146,28.874289,-0.26482856,-0.078721344,-0.035393678,-0.061016545,-0.08631048,-0.12906563,57.466255,31.546026,-0.10067291,38.662228,-0.1543499,44.433685,-0.01628039,11.7524395,-0.10443052,-0.3048622,26.740425,44.254086,32.931797,21.270403,38.28986,-0.08591444,34.625782,-0.13850293,37.424736,-0.20092137,-0.100204006,-0.2502167,41.529648,11.752079,4.7314906,25.928854,-0.120649695,32.118587,-0.16859418,-0.13837433,41.581715,-0.20999758,35.38773,9.432803
38.727688,-0.111784235,5.0541477,-0.041128743,13.606931,0.14468473,41.439342,1.1389228,-0.013129598,-0.0049212785,-0.20933996,32.27534,12.96039,-0.1691515,52.46858,1.4161763,-0.21862131,0.07847368,8.009759,17.571028,-0.31502262,1.6859175,35.98734,26.94106,-0.3181197,-0.0076492075,-0.12705113,1.4780859,-0.129965,-0.008543174,80.28417,51.67433,-0.059518598,41.470646,-0.06367359,38.759037,-0.021024102,5.024926,0.259359,-0.3559907,15.6507,37.194798,36.13471,18.192144,41.501423,-0.02915712,30.488312,-0.09685446,42.811275,-0.2554809,-0.23242313,-0.27073443,43.378433,4.356482,-0.05459329,37.156498,-0.20498113,47.498985,-0.14497307,-0.051204976,57.905254,-0.23963407,54.02432,15.350695
22.859217,-0.10984659,-0.011357248,-0.06352498,34.520485,-0.07810747,49.938553,-0.07307201,-0.06181671,-0.08927517,-0.13899584,31.380323,33.33816,-0.078805774,52.496525,-0.05498263,-0.12871425,-0.03644456,4.6145988,11.624799,-0.18966,-0.049899876,31.785576,42.35719,-0.1923026,-0.064268254,16.761637,-0.05893423,-0.10112137,-0.13184531,66.147484,35.509136,-0.08654786,32.77481,-0.15320729,30.025532,-0.036628723,34.128635,-0.1030815,-0.22461613,3.5182974,37.949707,44.055523,37.450844,31.86983,-0.061192017,18.632776,-0.09861897,32.287945,-0.18052554,12.907713,-0.21288116,27.90712,32.95508,26.717554,39.731445,-0.16682911,39.266964,-0.120616175,-0.12419709,50.374977,-0.16977412,40.345303,7.145516
21.880848,-0.07929627,-0.23772942,-0.013653585,28.571894,6.133285,58.775387,6.7838755,3.4937289,5.6481047,-0.2042719,53.795403,22.893698,-0.12810636,73.49996,8.736446,-0.26616013,4.714285,14.026579,26.928835,-0.32586193,6.0633845,36.912266,41.66519,-0.3190459,5.8690205,-0.004314763,8.696242,-0.16093998,6.477961,108.76334,72.89857,-0.020525891,37.484844,1.3847084,24.086,-0.038079206,23.310198,7.9458957,-0.3566696,-0.101709895,26.509933,53.154167,35.309597,37.704338,1.7921058,16.566032,-0.048269838,41.395298,-0.28847918,-0.106117845,-0.25869873,34.088436,20.187225,9.142929,60.348186,-0.3102024,69.02226,-0.10548814,3.5194821,82.189415,-0.24184202,75.80734,18.019323
44.790813,-0.12308429,37.91923,-0.08601671,1.1451453,-0.11403339,15.206715,-0.10759379,-0.071130104,-0.123696685,-0.1247559,-0.03737369,7.3722677,-0.207598,15.465351,-0.100890845,-0.05584752,-0.061410736,-0.03174411,0.26950982,-0.15745002,-0.062170174,25.085564,10.677013,-0.18752235,-0.11206825,-0.1404986,-0.09592438,-0.023113059,-0.18428996,19.682388,5.464521,-0.09978455,32.190533,-0.2003215,46.660442,0.9140684,-0.07860139,-0.16266233,-0.23104052,38.868214,43.53352,12.131741,1.925922,32.002327,-0.10623942,38.00558,-0.13725409,28.952696,-0.13974921,-0.19875135,-0.20924217,39.503838,-0.057030797,-0.10056313,-0.003960596,-0.01951963,5.8773484,-0.15415746,-0.1780872,11.555412,-0.16758305,7.985646,3.838993
-0.060170025,0.511427,6.3339353,-0.02006505,-1.1110829,-0.072550654,-1.108752,-0.043329485,-0.062416714,-0.055570062,2.990021,-0.89354503,-0.99573505,-0.34418887,-1.1025982,-0.039399922,5.439869,-0.06042915,-0.20145673,-0.25457457,4.4759774,-0.060567927,-0.47689152,-1.0468986,2.924695,-0.08521807,-0.89292186,-0.02552208,0.9543632,-0.05906632,-1.449118,-0.9207967,-0.018274583,-0.32491276,-0.076990634,-0.12913927,1.9548609,-1.206043,-0.08747105,6.026851,4.7589865,-0.32711235,-1.0466841,-1.1447889,-0.28826725,-0.050523315,-0.042119525,-0.001343087,-0.37151843,5.4058685,-1.1068957,5.9271646,-0.089883514,-1.1775407,-1.1407641,-1.0843418,5.898856,-1.0045608,-0.0054918635,-0.052107524,-1.1160997,5.0271554,-1.0030084,-0.09896695
-0.23006132,-0.33473694,-0.3890906,-0.26208133,-0.32767096,-0.2273132,-0.3229359,-0.27078408,-0.2403688,-0.23084559,-0.4751021,-0.28918478,-0.28883523,-0.18144815,-0.30856246,-0.16727577,-0.30251443,-0.23583049,-0.13874243,-0.118662834,-0.44464552,-0.16839756,-0.14982784,-0.27523705,-0.46279624,-0.2613034,-0.29312575,-0.13531603,-0.32148954,-0.32358298,-0.4118025,-0.23242171,-0.3196706,-0.14055404,-0.16671994,-0.21337907,-0.17386575,-0.3353119,-0.26031825,-0.47568205,-0.36272737,-0.19884565,-0.29820424,-0.29036763,-0.12497815,-0.31370816,-0.1981439,-0.40984583,-0.11569688,-0.18609492,-0.34788015,-0.30099276,-0.1381857,-0.3550581,-0.32083783,-0.34634092,-0.2867649,-0.30727068,-0.42816094,-0.16355824,-0.3036686,-0.2339187,-0.26379526,-0.052894667
48.739426,-0.113278,28.295282,-0.050770324,-0.04922021,-0.034157287,19.473362,-0.019643368,-0.03029651,-0.042662267,-0.18087955,9.542264,-0.0063678096,-0.2292645,27.16964,-0.035423428,-0.15053594,-0.022980941,2.6600945,8.768753,-0.2618456,-0.0076304716,30.658426,8.312774,-0.28208253,-0.046553515,-0.26130617,-0.031212792,-0.06967282,-0.058587413,47.99007,29.463093,-0.06671646,39.09284,-0.11159772,46.714943,0.76386905,-0.17384933,-0.05355401,-0.32693392,34.989445,40.763817,15.609936,-0.02308292,39.173824,-0.057864573,39.667366,-0.11434801,38.470135,-0.2064398,-0.37207296,-0.24742001,46.499344,-0.15697704,-0.23432119,12.206355,-0.10255999,24.62684,-0.15350668,-0.10592087,31.064674,-0.21327606,30.587975,11.573318
-1.559803,-0.11352229,-1.8951063,-0.08784094,-0.25123173,-0.05894415,-0.24815294,-0.0876342,-0.13760981,-0.07137724,-0.2860811,-0.08562227,-0.26869473,-0.15473485,-0.2112674,-0.07885649,-0.33971235,-0.13528469,-0.124277055,-0.041744165,-0.26034135,-0.10473192,-0.2911877,-0.22379091,-0.200387,-0.0880591,-0.16513653,-0.1403947,-0.39684516,-0.097190075,-0.1447962,-0.030727202,-0.1317885,-0.49995312,-0.07428368,-1.3640928,-0.26720876,-0.19246696,-0.052654102,-0.17934965,-1.7967715,-0.8779282,-0.20614162,-0.25972995,-0.504889,-0.09928501,-1.3391622,-0.16518234,-0.3200161,-0.07135125,-0.2410688,-0.11126897,-1.0793377,-0.25636086,-0.25285786,-0.14134979,-0.6506907,-0.06500625,-0.13873199,-0.06597464,-0.08642452,-0.077776596,-0.060233723,-0.13331425
-0.6111619,-0.3401248,-0.9191233,-0.24944118,-0.199035,-0.19266129,-0.14666651,-0.23413996,-0.24301204,-0.205394,-0.55661124,-0.0769993,-0.18112709,-0.14297424,-0.0930533,-0.16741309,-0.41535097,-0.22875047,-0.13189135,-0.04683817,-0.52957684,-0.15942079,-0.10405538,-0.12401208,-0.5211088,-0.2279218,-0.17952791,-0.15781568,-0.42877638,-0.26311082,-0.04453128,0.17874393,-0.31875008,-0.17280051,-0.1541368,-0.5301237,-0.23414582,-0.1781403,-0.20348898,-0.53683406,-0.8453378,-0.34246716,-0.13398595,-0.1536946,-0.16162553,-0.2844612,-0.52175236,-0.42764282,-0.08403479,-0.22300287,-0.25619438,-0.33434582,-0.39078787,-0.21173495,-0.19230379,-0.10446624,-0.49407735,-0.059688233,-0.44295156,-0.16239317,-0.025588281,-0.24929227,-0.020862179,-0.06008949
