0,1,2,3,4,5,6,7
1.0,3.15757,3.59162,0.0,-4.1451400000000005,-0.139343,-0.217484,0.0
1.0,14.6594,12.3442,0.0,-3.84343,0.27554,-0.5254840000000001,0.0
1.0,17.6259,8.11155,0.0,-3.6996,-0.00172167,0.308608,0.0
1.0,14.0349,1.89047,0.0,-3.3382,-0.328701,-0.07826219999999999,0.0
1.0,8.8349,3.0688299999999997,0.0,-3.4861800000000005,0.0261635,-0.304354,0.0
1.0,8.528310000000001,1.93107,0.0,-3.9167,-0.328011,-0.193146,0.0
1.0,7.0097,3.4108300000000003,0.0,-3.42624,-0.133641,0.213588,0.0
1.0,6.77682,1.3148799999999998,0.0,-4.37515,-0.273065,0.634603,0.0
1.0,10.8967,4.02911,0.0,-4.13705,0.500217,-0.027277099999999995,0.0
1.0,19.415,11.251,0.0,-3.86505,-0.168079,0.487008,0.0
1.0,11.6107,14.7888,0.0,-4.05961,0.0186994,-0.0658705,0.0
1.0,10.2015,2.42731,0.0,-4.09366,0.0833011,0.038386300000000005,0.0
1.0,1.7415200000000002,17.9752,0.0,-4.3787400000000005,0.546924,0.0946825,0.0
2.0,8.69828,19.3643,0.0,-3.4347,-0.0511796,-0.653546,0.0
2.0,18.5556,5.3462,0.0,-3.01978,0.164181,0.475127,0.0
2.0,16.123,17.0616,0.0,-3.03219,0.620859,-0.153,0.0
2.0,14.1584,11.6619,0.0,-3.26165,0.206715,0.048407099999999995,0.0
2.0,15.3332,7.558489999999999,0.0,-4.03605,0.145258,0.20893899999999999,0.0
2.0,18.3259,9.877930000000001,0.0,-3.7706199999999996,-0.00370047,0.48135,0.0
2.0,10.0171,7.52032,0.0,-3.44141,-0.227622,-0.00162002,0.0
1.0,7.845039999999999,10.0456,0.0,-3.7568300000000003,0.344839,0.530948,0.0
1.0,15.3644,16.6939,0.0,-4.46546,-0.198935,-0.422109,0.0
1.0,2.6924900000000003,0.951169,0.0,-3.8129199999999996,0.157278,0.195683,0.0
1.0,8.1541,15.2304,0.0,-3.69844,0.11735799999999999,0.288379,0.0
1.0,17.7151,2.8759200000000003,0.0,-4.64462,0.158567,-0.292917,0.0
1.0,18.7284,18.4298,0.0,-4.00831,-0.23575300000000002,-0.32396199999999997,0.0
1.0,0.890769,19.5263,0.0,-4.5896300000000005,0.693527,0.264148,0.0
1.0,8.110510000000001,7.52273,0.0,-3.6858800000000005,-0.34836300000000003,0.223938,0.0
