Pos_Score,Neg_Score,ROC_Score,Conf_00,Conf_01,Conf_10,Conf_11
0.24167683720588684,-0.02835547924041748,0.7832409972299169,21,17,9,21
0.8340193629264832,-0.08277919143438339,0.9956172388604821,28,9,0,28
0.9560496211051941,0.040915440768003464,0.9926953981008035,28,9,0,28
0.8652356266975403,-0.056348010897636414,0.9375410913872452,30,9,4,30
0.8625316023826599,0.21979954838752747,0.8553583168967784,22,17,0,22
0.7602977752685547,0.13817790150642395,0.8367346938775511,22,13,6,22
0.7287790179252625,0.28619205951690674,0.7538349159970784,20,17,2,20
0.6565771698951721,0.16302120685577393,0.8123268698060941,23,15,6,23
0.9826638102531433,-0.0478622168302536,1.0,30,8,0,30
0.42655110359191895,0.16231144964694977,0.7257617728531855,24,14,9,24
0.8314887285232544,0.001975322375074029,0.9736842105263158,23,15,0,23
0.9509236216545105,0.08960885554552078,0.9493754109138723,26,13,0,26
0.8111900687217712,-0.014767474494874477,0.9211102994886778,26,11,3,26
0.7962644696235657,0.0765310600399971,0.9220679012345679,25,11,5,25
0.9646018743515015,-0.06781941652297974,0.9901380670611439,33,6,0,33
0.7988355159759521,-0.03327290341258049,0.9547114682249819,27,10,1,27
0.9050542116165161,0.02420913241803646,0.9868507560815254,24,15,0,24
0.8251032829284668,-0.03706342354416847,0.9930747922437674,33,5,0,33
0.8681842684745789,0.1700316071510315,0.926953981008035,22,15,0,22
0.7726359367370605,0.010258134454488754,0.9757617728531855,21,17,1,21
0.5963243842124939,0.043457042425870895,0.8698060941828255,19,19,1,19
0.8034595251083374,-0.05001106113195419,0.9914529914529915,27,12,0,27
0.44558900594711304,-0.015487940981984138,0.9404432132963988,33,5,3,33
0.9327268600463867,-0.014216036535799503,0.9921104536489151,35,4,0,35
0.9594095349311829,-0.06284582614898682,0.9773557341124909,33,4,1,33
0.6271226406097412,0.03623906150460243,0.8185595567867037,22,16,7,22
0.47123825550079346,0.0796322301030159,0.7981591058514136,27,12,11,27
0.42308205366134644,-0.09346851706504822,0.8224852071005917,24,15,3,24
0.6569250822067261,0.22690291702747345,0.8054016620498615,21,17,6,21
0.9519718885421753,-0.0801735520362854,0.9986850756081526,32,7,0,32
0.5380608439445496,0.1903453916311264,0.7942143326758712,18,21,8,18
0.8416299223899841,0.03217899054288864,0.9644970414201183,21,18,0,21
0.9532899856567383,0.0031863574404269457,0.9960552268244576,30,9,0,30
0.848351240158081,0.17402827739715576,0.9351851851851852,19,17,0,19
0.5136917233467102,0.23291213810443878,0.618421052631579,17,21,12,17
0.8536264896392822,0.1489238142967224,0.9313271604938272,24,12,0,24
0.7643953561782837,-0.09504404664039612,0.8926592797783934,33,5,6,33
0.41305115818977356,0.01080419309437275,0.8560157790927022,30,9,15,30
0.30420589447021484,0.036898382008075714,0.5976454293628809,22,16,20,22
0.8183262348175049,0.060432493686676025,0.9671292914536158,21,16,0,21
0.9069945812225342,0.17955483496189117,0.929145361577794,24,13,0,24
0.8839651942253113,-0.005939851049333811,0.9891975308641975,25,11,0,25
0.6877027750015259,-0.0956108346581459,0.9693206720233747,26,11,0,26
0.9558926224708557,7.986297714523971e-05,0.9831994156318481,31,6,0,31
0.18293973803520203,0.09538634866476059,0.5762499999999999,27,13,29,27
0.958500325679779,-0.04555194079875946,0.9909972299168975,30,8,0,30
0.9086868762969971,0.039096392691135406,0.9839298758217678,31,6,0,31
0.5662751793861389,0.034190285950899124,0.8905817174515236,29,9,6,29
0.43986618518829346,0.19171351194381714,0.758217677136596,9,28,2,9
0.2858036160469055,0.012406621128320694,0.6011687363038715,27,10,18,27
0.7092713713645935,-0.039025142788887024,0.8138775510204082,30,5,8,30
0.9041215181350708,0.024046404287219048,0.9868507560815253,26,13,0,26
0.8246485590934753,0.05376891419291496,0.9533201840894149,27,12,0,27
0.9084648489952087,0.05163458734750748,0.9847645429362881,28,10,1,28
0.9952881932258606,-0.029446318745613098,0.9974999999999999,33,7,0,33
0.6678131222724915,0.0472877137362957,0.8212500000000001,26,14,9,26
0.15975898504257202,0.06179685890674591,0.6929012345679012,24,12,7,24
0.8895207643508911,0.08075965940952301,0.9830246913580247,18,18,0,18
0.7537254095077515,0.033518288284540176,0.9196493791088386,30,7,5,30
0.9577847123146057,-0.07548359781503677,0.9877551020408163,28,7,1,28
0.7918936014175415,0.21763183176517487,0.8676470588235294,17,17,1,17
0.587628185749054,0.31179705262184143,0.6717451523545707,16,22,7,16
0.22615015506744385,0.017365360632538795,0.6149584487534625,20,18,12,20
0.9620966911315918,-0.08302148431539536,1.0,33,6,0,33
0.43104156851768494,2.075888551189564e-05,0.8801939058171745,19,19,1,19
0.5509977340698242,0.06460315734148026,0.8973765432098765,24,12,2,24
0.8845524191856384,0.14475274085998535,0.9208163265306123,23,12,0,23
0.7999945878982544,0.09041666984558105,0.9263642340565417,24,15,1,24
0.26028090715408325,0.027343546971678734,0.701972242512783,19,18,7,19
0.5129674077033997,0.00036410544998943806,0.7742878013148284,19,18,3,19
0.9610682129859924,0.0032579507678747177,0.9923822714681441,29,9,0,29
0.8149954676628113,0.0016148572321981192,0.8829639889196675,27,11,5,27
0.8985830545425415,-0.020691940560936928,0.949375,30,10,2,30
0.4606877863407135,0.10383430868387222,0.7844897959183674,16,19,9,16
0.5665889382362366,-0.12964175641536713,0.9344135802469136,30,6,1,30
0.8600743412971497,-0.10997685045003891,0.9993425378040762,33,6,0,33
0.7543053030967712,-0.06203678622841835,0.9398148148148148,29,7,3,29
0.8915227055549622,0.1713438183069229,0.9717291255752794,24,15,0,24
