,MSD_cluster
0,0.6711372142857144
1,0.7896604666666671
2,0.7110268666666669
3,0.5624167272727273
4,0.864001
5,0.64974
6,0.8870873333333333
7,0.6822764761904763
8,0.6629216
9,0.9751592
10,0.9705532
11,0.6908928
12,0.8956711666666667
13,0.6877893399999999
14,0.5327901666666667
15,0.9449205000000002
16,1.0383289999999998
